Date,Cost
02/2019,277.95
01/2019,277.67
12/2018,277.58
11/2018,277.73
10/2018,277.76
09/2018,277.72
08/2018,277.72
07/2018,277.69
06/2018,277.69
05/2018,277.65
04/2018,277.67
03/2018,277.65
02/2018,277.63
01/2018,277.59
12/2017,277.6
11/2017,277.59
10/2017,277.59
09/2017,277.58
08/2017,277.55
07/2017,277.52
06/2017,277.51
05/2017,277.47
04/2017,277.42
03/2017,277.38
02/2017,277.34
01/2017,277.3
12/2016,277.28
11/2016,277.25
10/2016,277.3
09/2016,277.27
08/2016,277.23
07/2016,277.24
06/2016,277.22
05/2016,277.2
04/2016,277.19
03/2016,277.19
02/2016,277.17
01/2016,277.08
12/2015,277.02
11/2015,277.05
10/2015,277.09
09/2015,277.09
08/2015,277.03
07/2015,276.99
06/2015,276.98
05/2015,277.04
04/2015,277.01
03/2015,276.93
02/2015,276.81
01/2015,276.7
12/2014,276.66
11/2014,276.66
10/2014,276.63
09/2014,276.49
08/2014,276.06
07/2014,275.65
06/2014,275.63
05/2014,275.37
04/2014,275.24
03/2014,275.02
02/2014,274.59
01/2014,274.39
12/2013,274.28
11/2013,274.02
10/2013,273.67
09/2013,273.1
08/2013,272.93
07/2013,272.58
06/2013,272.23
05/2013,271.4
04/2013,270.97
03/2013,270.68
02/2013,270.26
01/2013,269.85
12/2012,269.25
11/2012,268.8
10/2012,267.9
09/2012,267.62
08/2012,267.37
07/2012,266.54
06/2012,265.9
05/2012,265.11
04/2012,264.5
03/2012,264.16
02/2012,263.79
01/2012,262.99
12/2011,262.22
11/2011,261.61
10/2011,260.73
09/2011,260.01
08/2011,258.93
07/2011,258.06
06/2011,257.49
05/2011,256.75
04/2011,256.07
03/2011,255.98
02/2011,255.81
01/2011,255.45
12/2010,255.12
11/2010,254.61
10/2010,253.93
09/2010,253.86
08/2010,253.31
07/2010,253.13
06/2010,252.66
05/2010,252.24
04/2010,251.72
03/2010,251.54
02/2010,251.25
01/2010,250.65
12/2009,250.64
11/2009,250.58
10/2009,250.15
09/2009,249.7
08/2009,249.61
07/2009,249.53
06/2009,249.2
05/2009,249.24
04/2009,249.03
03/2009,248.73
02/2009,248.12
01/2009,247.35
12/2008,245.76
11/2008,244.13
10/2008,242.57
09/2008,241.46
08/2008,240.79
07/2008,239.83
06/2008,239.31
05/2008,238.82
04/2008,238.32
03/2008,237.1
02/2008,235.62
01/2008,234.61
12/2007,233.91
11/2007,233.09
10/2007,232.17
09/2007,231.1
08/2007,230.32
07/2007,230
06/2007,229.64
05/2007,228.71
04/2007,227.4
03/2007,226.56
02/2007,225.67
01/2007,224.54
12/2006,223.31
11/2006,222.45
10/2006,220.78
09/2006,219.7
08/2006,218.62
07/2006,217.62
06/2006,216.66
05/2006,215.68
04/2006,214.68
03/2006,214
02/2006,213.23
