Date,Cost
01/2019,317.75
12/2018,302.55
11/2018,327.94
10/2018,324.76
09/2018,337.3
08/2018,336.62
07/2018,331.02
06/2018,317.86
05/2018,309.08
04/2018,303.83
03/2018,296.78
02/2018,302.66
01/2018,307.7
12/2017,300.3
11/2017,296.3
10/2017,289.51
09/2017,282.66
08/2017,283.38
07/2017,279.92
06/2017,269.02
05/2017,271.44
04/2017,271.44
03/2017,271.44
02/2017,273.89
01/2017,271.65
12/2016,273.41
11/2016,266.71
10/2016,257.61
09/2016,254.84
08/2016,258.6
07/2016,253.09
06/2016,253.09
05/2016,252.71
04/2016,246.66
03/2016,242.04
02/2016,235.15
01/2016,242.79
12/2015,247.79
11/2015,250.51
10/2015,251.3
09/2015,232.7
08/2015,239.36
07/2015,245.84
06/2015,239.37
05/2015,240.19
04/2015,247.19
03/2015,252.59
02/2015,254.64
01/2015,243.21
12/2014,244.99
11/2014,240.0
10/2014,230.0
09/2014,222.43
08/2014,211.51
07/2014,201.51
06/2014,204.97
05/2014,202.86
04/2014,198.11
03/2014,197.89
02/2014,197.74
01/2014,188.67
12/2013,193.83
11/2013,186.36
10/2013,186.36
09/2013,179.19
08/2013,179.08
07/2013,180.67
06/2013,182.86
05/2013,182.86
04/2013,171.92
03/2013,171.24
02/2013,167.94
01/2013,166.52
12/2012,160.59
11/2012,165.78
10/2012,162.05
09/2012,153.25
08/2012,150.23
07/2012,153.97
06/2012,151.9
05/2012,156.25
04/2012,175.29
03/2012,157.99
02/2012,161.69
01/2012,169.26
12/2011,161.42
11/2011,174.3
10/2011,184.17
09/2011,160.6
08/2011,174.4
07/2011,204.5
06/2011,211.05
05/2011,224.39
04/2011,243.27
03/2011,246.36
02/2011,258.74
01/2011,268.13
12/2010,255.54
11/2010,244.49
10/2010,277.41
09/2010,255.46
08/2010,239.08
07/2010,256.3
06/2010,255.34
05/2010,264.24
04/2010,289.43
03/2010,298.29
02/2010,285.61
01/2010,264.06
12/2009,243
11/2009,242.23
10/2009,242.38
09/2009,225.27
08/2009,226.52
07/2009,217.58
06/2009,212.65
05/2009,197.14
04/2009,177.96
03/2009,153.53
02/2009,136.65
01/2009,138.53
12/2008,120.06
11/2008,126.16
10/2008,130.82
09/2008,170.08
08/2008,187.53
07/2008,188.96
06/2008,189.53
05/2008,201.65
04/2008,207.2
03/2008,205.11
02/2008,225.44
01/2008,218.84
12/2007,238.82
11/2007,250.79
10/2007,277.31
09/2007,267.94
08/2007,265.66
07/2007,277.66
06/2007,289.75
05/2007,290.95
04/2007,292.15
03/2007,278.18
02/2007,279.56
01/2007,273.17
12/2006,250.57
11/2006,255.7
10/2006,236.22
09/2006,208.88
08/2006,207.12
07/2006,210.75
06/2006,213.17
05/2006,228.68
04/2006,233.9
03/2006,220.63
02/2006,218.95
01/2006,222.54
12/2005,208.79
11/2005,210.97
10/2005,208.23
09/2005,210.71
08/2005,209.45
07/2005,209.02
06/2005,191.63
05/2005,206.92
04/2005,220.03
03/2005,213.82
02/2005,212.12
01/2005,202.28
