Date,Cost
3/2005,675.78
4/2005,658.07
5/2005,686.37
6/2005,699.09
7/2005,657.01
8/2005,691.47
9/2005,726.1
10/2005,759.56
11/2005,766.06
12/2005,790.78
1/2006,827.93
2/2006,848.37
3/2006,829.39
4/2006,827.83
5/2006,890.58
6/2006,871.53
7/2006,812.65
8/2006,807.98
9/2006,816.2
10/2006,849.97
11/2006,916.62
12/2006,923.84
1/2007,939.99
2/2007,970.2
3/2007,961.73
4/2007,1000.87
5/2007,1078.91
6/2007,1125.05
7/2007,1105.22
8/2007,1075.52
9/2007,1052.97
10/2007,1116.6
11/2007,1176.1
12/2007,1144.56
1/2008,1163.65
2/2008,1025.92
3/2008,999.12
4/2008,944.07
5/2008,990.42
6/2008,1037.42
7/2008,966.66
8/2008,938.69
9/2008,909.3
10/2008,760.89
11/2008,667.18
12/2008,568.07
1/2009,584.81
2/2009,597.67
3/2009,579.89
4/2009,666.26
5/2009,748.6
6/2009,822.41
7/2009,811.85
8/2009,903.67
9/2009,896.73
10/2009,939.87
11/2009,935.01
12/2009,1019.8
1/2010,1080.2
2/2010,1059.57
3/2010,1116.1
4/2010,1158.7
5/2010,1096.87
6/2010,1000.46
7/2010,986.63
8/2010,1029.56
9/2010,1063.93
10/2010,1133.85
11/2010,1177.12
12/2010,1156.57
1/2011,1226.58
2/2011,1201.38
3/2011,1174.54
4/2011,1215.52
5/2011,1178.77
6/2011,1133.56
7/2011,1141.76
8/2011,1089.51
9/2011,1017.51
10/2011,953.87
11/2011,996.13
12/2011,989.55
1/2012,990.37
2/2012,1017.77
3/2012,999.19
4/2012,1039.05
5/2012,1067.17
6/2012,958.76
7/2012,990.06
8/2012,996.3
9/2012,993.76
10/2012,1079.01
11/2012,1082.59
12/2012,1089.9
1/2013,1076.34
2/2013,1063.09
3/2013,1085.89
4/2013,1104.22
5/2013,1081.21
6/2013,1102.09
7/2013,1076.63
8/2013,1098.83
9/2013,1085.23
10/2013,1150.47
11/2013,1168.79
12/2013,1234.66
1/2014,1219.32
2/2014,1201.89
3/2014,1256.54
4/2014,1294.42
5/2014,1251.94
6/2014,1260.0
7/2014,1250.86
8/2014,1246.63
9/2014,1274.02
10/2014,1298.27
11/2014,1291.39
12/2014,1306.7
1/2015,1288.01
2/2015,1267.32
3/2015,1359.61
4/2015,1421.12
5/2015,1423.7
6/2015,1467.74
7/2015,1440.0
8/2015,1479.43
9/2015,1370.92
10/2015,1300.6
11/2015,1363.15
12/2015,1355.17
1/2016,1328.33
2/2016,1262.49
3/2016,1243.66
4/2016,1250.44
5/2016,1224.58
6/2016,1252.34
7/2016,1224.58
8/2016,1275.68
9/2016,1267.03
10/2016,1260.51
11/2016,1225.36
12/2016,1258.89
1/2017,1276.94
2/2017,1254.11
3/2017,1284.33
4/2017,1253.01
5/2017,1271.76
6/2017,1294.46
7/2017,1291.5
8/2017,1289.89
9/2017,1256.3
10/2017,1300.7
11/2017,1317.1
12/2017,1338.79
1/2018,1378.25
2/2018,1403.44
3/2018,1348.54
4/2018,1316.06
5/2018,1325.22
6/2018,1371.49
7/2018,1366.34
8/2018,1413.49
9/2018,1501.03
10/2018,1491.81
11/2018,1458.22
12/2018,1489.43
1/2019,1348.9
2/2019,1415.3
